Modelo,RMSE,MAE,MAPE
Holt-Winters,"244.684.287,01","215.639.406,84","3,64"
ARIMA,"311.866.232,08","233.406.618,13","3,80"
Redes Neurais,"847.662.318,04","660.869.098,32","10,66"
