Modelo,RMSE,MAE,MAPE
Redes Neurais,"243.641.021,50","194.185.544,59","15,48"
Holt-Winters,"76.861.362,17","62.621.291,78","5,43"
ARIMA,"60.574.658,49","54.025.143,82","4,92"
