Modelo,RMSE,MAE,MAPE
ARIMA,"28.506.261,45","22.276.245,01","9,30"
Holt-Winters,"34.938.426,88","26.689.343,80","11,02"
Redes Neurais,"51.307.571,49","40.693.339,19","17,25"
