Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),118239442.83355212,"118.239.442,83"
MAE (Mean Absolute Error),88202286.69199255,"88.202.286,69"
MAPE (Mean Absolute % Error),13.865375269356516,"13,87"
