Modelo,RMSE,MAE,MAPE
Holt-Winters,"332.102.232,40","209.854.997,20","3,84"
ARIMA,"353.701.592,76","239.659.412,51","4,36"
Redes Neurais,"542.406.686,41","434.878.774,60","8,04"
