Modelo,RMSE,MAE,MAPE
Redes Neurais,"87.806.854,94","72.276.559,48","9,85"
Holt-Winters,"51.515.405,07","41.696.943,80","5,86"
ARIMA,"41.999.217,87","37.448.260,97","5,57"
