Modelo,RMSE,MAE,MAPE
Holt-Winters,"326.177.824,39","199.305.404,25","4,31"
ARIMA,"363.745.327,20","267.192.647,71","5,89"
Redes Neurais,"714.138.183,05","611.708.830,06","13,23"
