Modelo,RMSE,MAE,MAPE
ARIMA,"167.395.963,07","120.405.885,10","7,50"
Redes Neurais,"137.710.885,54","121.262.605,29","8,05"
Holt-Winters,"102.513.775,48","86.811.945,17","5,64"
