Modelo,RMSE,MAE,MAPE
ARIMA,"434.882.045,98","259.615.794,70","7,08"
Holt-Winters,"439.696.207,43","270.282.410,09","7,37"
Redes Neurais,"633.464.726,50","448.664.459,27","12,13"
