Modelo,RMSE,MAE,MAPE
Holt-Winters,"445.549.557,32","302.003.608,16","8,15"
ARIMA,"551.306.589,60","423.232.212,83","11,49"
Redes Neurais,"710.637.476,43","500.517.948,10","12,79"
