Modelo,RMSE,MAE,MAPE
ARIMA,"10.691.735,66","9.397.374,26","5,67"
Holt-Winters,"12.884.594,44","10.766.869,13","6,15"
Redes Neurais,"48.612.548,36","39.036.855,88","19,90"
