Modelo,RMSE,MAE,MAPE
ARIMA,"22.631.846,46","17.047.666,85","3,32"
Holt-Winters,"23.276.398,29","19.126.739,16","3,74"
Redes Neurais,"38.693.899,09","32.771.428,98","6,43"
