Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"287.243.208,27","289.149.092,17","293.375.099,36"
2025-10,"290.584.911,21","280.330.727,19","299.562.346,42"
2025-11,"283.090.759,48","269.645.389,59","305.116.713,15"
2025-12,"382.265.879,48","403.388.747,81","306.561.827,19"
2026-01,"277.936.753,42","218.775.595,16","279.160.333,73"
2026-02,"304.511.839,21","264.510.780,56","281.199.853,59"
2026-03,"287.732.879,95","261.535.745,11","283.516.478,14"
2026-04,"296.126.763,68","282.178.933,90","284.684.966,01"
2026-05,"291.126.758,60","255.071.529,97","284.555.737,74"
2026-06,"298.942.415,73","271.750.569,13","286.034.532,64"
2026-07,"296.050.556,53","266.655.651,25","287.293.048,79"
2026-08,"292.952.011,19","257.330.690,76","289.085.508,85"
