Modelo,RMSE,MAE,MAPE
ARIMA,"34.358.514,35","27.171.802,32","4,07"
Holt-Winters,"54.786.540,36","41.914.882,33","5,96"
Redes Neurais,"111.285.882,12","83.687.923,75","11,36"
