Modelo,RMSE,MAE,MAPE
ARIMA,"52.902.280,70","41.573.703,46","14,45"
Holt-Winters,"104.624.623,03","76.998.091,61","29,42"
Redes Neurais,"338.842.825,91","248.209.678,15","41,25"
