Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),23009509.356092937,"23.009.509,36"
MAE (Mean Absolute Error),20077995.947605275,"20.077.995,95"
MAPE (Mean Absolute % Error),108.41991635269387,"108,42"
