Modelo,RMSE,MAE,MAPE
Holt-Winters,"5.284.627,29","4.260.966,59","20,90"
ARIMA,"5.491.429,00","4.351.439,29","20,31"
Redes Neurais,"5.860.880,40","4.593.525,98","20,85"
