Modelo,RMSE,MAE,MAPE
Redes Neurais,"1.939.822,88","1.690.248,33","26,81"
ARIMA,"2.154.126,71","1.862.468,23","31,14"
Holt-Winters,"2.301.274,29","1.857.076,84","33,59"
