Modelo,RMSE,MAE,MAPE
Redes Neurais,"50.660.356,58","42.037.197,87","14,66"
Holt-Winters,"43.387.288,09","31.528.034,16","12,68"
ARIMA,"39.550.252,29","30.356.928,93","11,08"
