Modelo,RMSE,MAE,MAPE
Redes Neurais,"52.302.718,46","49.192.122,01","58,49"
Holt-Winters,"12.444.064,81","10.557.341,75","14,86"
ARIMA,"9.662.056,66","7.046.711,21","5,22"
