Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),11072021.806207644,"11.072.021,81"
MAE (Mean Absolute Error),8922183.448291877,"8.922.183,45"
MAPE (Mean Absolute % Error),35.42365542143653,"35,42"
