Modelo,RMSE,MAE,MAPE
ARIMA,"16.894.270,78","15.259.937,79","4,57"
Holt-Winters,"21.603.359,06","17.108.594,60","4,95"
Redes Neurais,"45.550.387,03","36.666.372,99","9,97"
