Modelo,RMSE,MAE,MAPE
Holt-Winters,"12.779.879,30","9.832.801,66","10,61"
ARIMA,"13.653.347,36","9.969.979,00","10,41"
Redes Neurais,"17.410.755,59","13.728.246,18","14,83"
