Modelo,RMSE,MAE,MAPE
ARIMA,"6.984.610,74","5.870.514,29","7,49"
Holt-Winters,"9.931.155,94","8.293.170,46","12,53"
Redes Neurais,"16.464.233,29","12.846.341,76","19,71"
