Modelo,RMSE,MAE,MAPE
Holt-Winters,"271.768.113,80","189.826.508,94","3,60"
ARIMA,"346.590.457,27","254.384.304,84","4,80"
Redes Neurais,"687.444.516,52","617.493.801,35","11,89"
