Mês,Valores_Previstos
2025-09,"651.191.544,47"
2025-10,"616.292.251,12"
2025-11,"736.119.243,36"
2025-12,"875.571.693,16"
2026-01,"804.033.095,19"
2026-02,"900.345.814,67"
2026-03,"806.382.344,03"
2026-04,"800.811.797,25"
2026-05,"878.782.800,83"
2026-06,"901.406.513,97"
2026-07,"761.561.369,96"
2026-08,"872.238.909,26"
