Modelo,RMSE,MAE,MAPE
Redes Neurais,"497.436.978,27","462.546.003,74","13,16"
ARIMA,"166.585.167,77","135.090.875,37","3,84"
Holt-Winters,"144.398.309,89","107.276.296,78","3,04"
