Modelo,RMSE,MAE,MAPE
Redes Neurais,"388.551.223,35","347.093.819,72","11,25"
ARIMA,"215.329.151,43","179.001.693,60","5,57"
Holt-Winters,"167.984.387,34","154.528.692,41","4,97"
