Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),832353355.4173504,"832.353.355,42"
MAE (Mean Absolute Error),657184675.1901199,"657.184.675,19"
MAPE (Mean Absolute % Error),8.267132273277307,"8,27"
