Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),167130703.1525757,"167.130.703,15"
MAE (Mean Absolute Error),142866858.32892692,"142.866.858,33"
MAPE (Mean Absolute % Error),3.4422531595361447,"3,44"
