Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),276515976.94519836,"276.515.976,95"
MAE (Mean Absolute Error),135269601.69199216,"135.269.601,69"
MAPE (Mean Absolute % Error),7.857279919730545,"7,86"
