Modelo,RMSE,MAE,MAPE
Redes Neurais,"16.790.131,88","13.985.070,04","7,33"
ARIMA,"12.366.325,58","10.408.840,08","5,58"
Holt-Winters,"12.268.249,76","9.928.346,74","5,50"
