Modelo,RMSE,MAE,MAPE
Redes Neurais,"95.173.978,53","74.784.114,02","49,50"
Holt-Winters,"20.941.992,49","11.144.451,26","5,25"
ARIMA,"12.588.551,91","7.238.844,01","4,48"
