Modelo,RMSE,MAE,MAPE
Redes Neurais,"126.534.997,71","92.370.239,83","7,00"
ARIMA,"95.549.493,95","66.935.969,69","4,88"
Holt-Winters,"83.470.090,32","61.004.839,94","4,68"
