Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),394827781.2023069,"394.827.781,20"
MAE (Mean Absolute Error),315496818.06431466,"315.496.818,06"
MAPE (Mean Absolute % Error),9.442843459086797,"9,44"
