Mês,Valores_Previstos
2025-09,"7.018.433,70"
2025-10,"7.031.940,94"
2025-11,"7.024.988,22"
2025-12,"7.033.192,39"
2026-01,"7.020.655,62"
2026-02,"7.000.031,88"
2026-03,"6.999.310,58"
2026-04,"7.021.578,84"
2026-05,"7.036.479,60"
2026-06,"7.046.514,79"
2026-07,"7.046.583,09"
2026-08,"7.027.537,88"
