Modelo,RMSE,MAE,MAPE
Redes Neurais,"21.801.966,29","18.494.740,00","40,11"
ARIMA,"19.376.504,30","15.937.005,97","39,12"
Holt-Winters,"15.306.222,51","11.970.217,63","37,83"
