Modelo,RMSE,MAE,MAPE
ARIMA,"50.006.568,27","28.656.066,19","13,63"
Holt-Winters,"53.398.284,09","30.327.885,28","14,33"
Redes Neurais,"96.109.833,00","60.677.800,11","33,89"
