Modelo,RMSE,MAE,MAPE
Holt-Winters,"4.667.729,69","3.910.901,13","6,41"
ARIMA,"5.923.827,60","4.282.036,86","6,61"
Redes Neurais,"9.597.210,67","7.908.672,55","14,50"
