Modelo,RMSE,MAE,MAPE
Holt-Winters,"43.409.000,43","25.034.204,31","8,30"
ARIMA,"47.447.814,86","27.771.922,87","9,36"
Redes Neurais,"51.451.550,73","27.715.097,37","8,85"
