Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),323006232.2813921,"323.006.232,28"
MAE (Mean Absolute Error),268478167.3006944,"268.478.167,30"
MAPE (Mean Absolute % Error),10.812379430123785,"10,81"
