Mês,Valores_Previstos
2025-09,"3.665.281,21"
2025-10,"3.569.222,77"
2025-11,"3.569.222,77"
2025-12,"3.569.222,77"
2026-01,"3.569.222,77"
2026-02,"3.569.222,77"
2026-03,"3.569.222,77"
2026-04,"3.569.222,77"
2026-05,"3.569.222,77"
2026-06,"3.569.222,77"
2026-07,"3.569.222,77"
2026-08,"3.569.222,77"
