Modelo,RMSE,MAE,MAPE
ARIMA,"6.505.382,59","3.904.410,99","14,25"
Holt-Winters,"11.072.021,81","8.922.183,45","35,42"
Redes Neurais,"79.270.110,91","44.823.626,88","138,29"
