Modelo,RMSE,MAE,MAPE
Holt-Winters,"55.782.844,03","47.762.803,38","8,33"
ARIMA,"59.100.818,98","49.566.557,47","8,30"
Redes Neurais,"118.239.442,83","88.202.286,69","13,87"
