Modelo,RMSE,MAE,MAPE
Holt-Winters,"4.610.639,11","4.246.314,17","42,06"
Redes Neurais,"4.102.162,94","3.297.281,72","29,58"
ARIMA,"2.045.523,73","1.555.841,49","12,69"
