Modelo,RMSE,MAE,MAPE
Redes Neurais,"582.526.559,49","461.251.458,22","10,40"
ARIMA,"369.744.574,98","291.080.822,68","6,76"
Holt-Winters,"362.622.599,67","286.678.785,00","6,63"
