Modelo,RMSE,MAE,MAPE
Redes Neurais,"54.330.727,17","48.135.784,30","74,21"
Holt-Winters,"10.134.778,90","8.180.847,40","14,39"
ARIMA,"8.193.430,25","6.344.254,11","10,26"
