Modelo,RMSE,MAE,MAPE
Redes Neurais,"8.973.046,16","5.799.138,59","13,99"
ARIMA,"8.612.043,19","6.185.588,96","16,59"
Holt-Winters,"7.206.673,01","5.336.085,26","14,11"
