Modelo,RMSE,MAE,MAPE
Redes Neurais,"398.888.167,88","307.202.218,57","7,88"
ARIMA,"196.305.229,14","166.529.986,76","4,64"
Holt-Winters,"195.603.869,00","170.575.468,85","4,73"
