Mês,Valores_Previstos
2025-09,"528.645.942,37"
2025-10,"555.444.892,39"
2025-11,"687.352.964,32"
2025-12,"748.823.779,80"
2026-01,"690.599.625,90"
2026-02,"930.922.695,66"
2026-03,"632.414.309,51"
2026-04,"648.483.298,61"
2026-05,"771.958.256,09"
2026-06,"805.762.798,66"
2026-07,"549.181.961,20"
2026-08,"684.688.297,72"
