Mês,Valores_Previstos
2025-09,"5.776.819.475,91"
2025-10,"5.600.695.248,76"
2025-11,"6.110.276.708,83"
2025-12,"6.632.923.980,82"
2026-01,"6.951.008.970,00"
2026-02,"5.928.384.515,21"
2026-03,"5.970.585.425,48"
2026-04,"6.055.808.970,81"
2026-05,"6.029.448.170,05"
2026-06,"6.103.924.600,74"
2026-07,"5.977.774.404,88"
2026-08,"6.321.827.632,80"
