Modelo,RMSE,MAE,MAPE
Redes Neurais,"5.789.570,57","5.616.653,33","86,27"
ARIMA,"1.977.733,84","1.432.904,97","19,01"
Holt-Winters,"1.658.265,56","1.169.888,95","15,57"
