Modelo,RMSE,MAE,MAPE
ARIMA,"11.494.368,34","8.088.799,73","40,97"
Redes Neurais,"23.741.188,19","20.906.712,81","113,99"
Holt-Winters,"28.409.225,66","15.339.824,18","89,75"
