Modelo,RMSE,MAE,MAPE
ARIMA,"22.339.103,34","17.349.119,84","7,26"
Redes Neurais,"29.955.427,59","22.223.085,50","9,39"
Holt-Winters,"30.041.170,78","22.481.268,61","9,17"
