Modelo,RMSE,MAE,MAPE
Redes Neurais,"29.113.401,19","18.835.409,11","24,48"
ARIMA,"21.008.163,57","11.601.799,00","14,59"
Holt-Winters,"11.695.156,63","8.933.881,54","13,32"
