Modelo,RMSE,MAE,MAPE
Redes Neurais,"259.161.684,98","236.759.370,01","18,17"
Holt-Winters,"134.204.120,74","117.743.289,82","9,09"
ARIMA,"123.933.888,66","100.882.212,80","7,90"
