Modelo,RMSE,MAE,MAPE
Holt-Winters,"8.710.588,84","6.592.741,36","9,88"
ARIMA,"10.206.172,16","6.831.610,34","9,02"
Redes Neurais,"17.701.505,95","9.239.402,17","11,08"
