Mês,Valores_Previstos
2025-09,"5.011.894.213,49"
2025-10,"5.147.677.881,04"
2025-11,"5.211.440.014,61"
2025-12,"5.204.805.624,04"
2026-01,"5.188.432.937,92"
2026-02,"5.159.476.744,38"
2026-03,"5.141.960.009,23"
2026-04,"5.194.318.800,33"
2026-05,"5.233.673.694,75"
2026-06,"5.239.453.479,55"
2026-07,"5.231.257.024,03"
2026-08,"5.217.061.611,70"
