Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),88593115.21594727,"88.593.115,22"
MAE (Mean Absolute Error),66727464.40357321,"66.727.464,40"
MAPE (Mean Absolute % Error),16.888538185425563,"16,89"
