Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),17139832.37252901,"17.139.832,37"
MAE (Mean Absolute Error),13593191.024616687,"13.593.191,02"
MAPE (Mean Absolute % Error),7.39535341774341,"7,40"
