Modelo,RMSE,MAE,MAPE
Redes Neurais,"186.039.922,67","137.462.251,83","55,53"
ARIMA,"116.697.654,65","72.842.541,75","21,36"
Holt-Winters,"115.054.177,48","74.551.180,34","24,34"
