Modelo,RMSE,MAE,MAPE
ARIMA,"147.962.967,78","130.670.989,18","9,29"
Holt-Winters,"191.142.600,60","167.724.268,58","11,97"
Redes Neurais,"3.097.140.435,74","1.743.537.241,33","53,74"
