Modelo,RMSE,MAE,MAPE
Holt-Winters,"171.891.267,85","128.495.518,97","6,25"
ARIMA,"218.032.229,51","177.157.954,55","8,96"
Redes Neurais,"246.199.700,20","197.819.613,49","9,70"
