Modelo,RMSE,MAE,MAPE
ARIMA,"26.925.161,28","21.343.500,31","4,58"
Holt-Winters,"42.888.165,91","31.944.917,75","6,45"
Redes Neurais,"90.218.616,88","70.692.543,75","14,46"
